,0
0,0.4
1,0.55
2,0.675
3,0.675
4,0.55
5,0.675
6,0.65
7,0.625
8,0.55
9,0.5
10,0.525
11,0.525
12,0.55
13,0.7
14,0.475
15,0.675
16,0.625
17,0.625
18,0.625
19,0.575
20,0.275
21,0.275
22,0.275
23,0.275
24,0.275
25,0.65
26,0.65
27,0.65
28,0.575
29,0.275
30,0.275
31,0.275
32,0.275
33,0.275
34,0.275
35,0.275
36,0.275
37,0.275
38,0.275
39,0.275
40,0.55
41,0.55
42,0.625
43,0.725
44,0.55
45,0.675
46,0.725
47,0.75
48,0.65
49,0.525
50,0.525
51,0.525
52,0.65
53,0.7
54,0.55
55,0.65
56,0.675
57,0.675
58,0.7
59,0.425
60,0.275
61,0.275
62,0.275
63,0.275
64,0.275
65,0.575
66,0.625
67,0.625
68,0.525
69,0.275
70,0.275
71,0.275
72,0.275
73,0.275
74,0.275
75,0.275
76,0.275
77,0.275
78,0.275
79,0.275
80,0.575
81,0.675
82,0.7
83,0.625
84,0.525
85,0.6
86,0.7
87,0.675
88,0.675
89,0.525
90,0.525
91,0.65
92,0.525
93,0.7
94,0.525
95,0.575
96,0.65
97,0.65
98,0.7
99,0.675
100,0.275
101,0.275
102,0.275
103,0.275
104,0.275
105,0.625
106,0.625
107,0.7
108,0.625
109,0.275
110,0.275
111,0.275
112,0.275
113,0.275
114,0.275
115,0.275
116,0.275
117,0.275
118,0.275
119,0.275
